"Name","Year","Wins","Losses","Win_Percent","Arena","Location","Capacity"
"Anaheim Ducks",2012,30,12,0.714285714285714,NA,NA,NA
"Anaheim Ducks",2013,54,20,0.72972972972973,NA,NA,NA
"Anaheim Ducks",2014,51,24,0.68,NA,NA,NA
"Anaheim Ducks",2015,46,25,0.647887323943662,NA,NA,NA
"Anaheim Ducks",2016,46,23,0.666666666666667,NA,NA,NA
"Anaheim Ducks",2017,44,25,0.63768115942029,NA,NA,NA
"Anaheim Ducks",2018,35,37,0.486111111111111,NA,NA,NA
"Anaheim Ducks",2019,29,33,0.467741935483871,NA,NA,NA
"Anaheim Ducks",2020,17,30,0.361702127659574,NA,NA,NA
"Anaheim Ducks",2021,27,29,0.482142857142857,NA,NA,NA
"Arizona Coyotes",2014,24,50,0.324324324324324,NA,NA,NA
"Arizona Coyotes",2015,35,39,0.472972972972973,NA,NA,NA
"Arizona Coyotes",2016,30,42,0.416666666666667,NA,NA,NA
"Arizona Coyotes",2017,29,41,0.414285714285714,NA,NA,NA
"Arizona Coyotes",2018,39,35,0.527027027027027,NA,NA,NA
"Arizona Coyotes",2019,33,29,0.532258064516129,NA,NA,NA
"Arizona Coyotes",2020,24,26,0.48,NA,NA,NA
"Arizona Coyotes",2021,20,40,0.333333333333333,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",1990,44,24,0.647058823529412,NA,NA,NA
"Boston Bruins",1991,36,32,0.529411764705882,NA,NA,NA
"Boston Bruins",2012,28,14,0.666666666666667,NA,NA,NA
"Boston Bruins",2013,54,19,0.73972602739726,NA,NA,NA
"Boston Bruins",2014,41,27,0.602941176470588,NA,NA,NA
"Boston Bruins",2015,42,31,0.575342465753425,NA,NA,NA
"Boston Bruins",2016,44,31,0.586666666666667,NA,NA,NA
"Boston Bruins",2017,50,20,0.714285714285714,NA,NA,NA
"Boston Bruins",2018,49,24,0.671232876712329,NA,NA,NA
"Boston Bruins",2019,44,14,0.758620689655172,NA,NA,NA
"Boston Bruins",2020,33,16,0.673469387755102,NA,NA,NA
"Boston Bruins",2021,41,19,0.683333333333333,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",1990,31,30,0.508196721311475,NA,NA,NA
"Buffalo Sabres",1991,31,37,0.455882352941176,NA,NA,NA
"Buffalo Sabres",2012,21,21,0.5,NA,NA,NA
"Buffalo Sabres",2013,21,51,0.291666666666667,NA,NA,NA
"Buffalo Sabres",2014,23,51,0.310810810810811,NA,NA,NA
